SurveyID,Age,Gender,Type,Education,Income,Employed,FullPart,@1OwnCell,@2UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,@9Comfort,BQ9a,@10Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001
W202,61,1,4,3,1,1,1,13,13,1,5,4,12,2,1,0.25,,,,,,,1,,,1,0,0,4,3,2,4,-1,3,-1,1,1,2,2,2,2,2,5,1,5,1,5,1,3,3,2,,4
W239,61,2,1,1,1,2,,15,15,1,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,4,3,2,4,-1,3,-1,3,3,3,3,2,2,3,3,1,3,1,3,1,5,3,3,,1
W273,61,2,1,3,1,2,,20,20,1,5,4,12,2,1,0.25,1,,1,,,1,1,,,1,0,0,5,4,3,7,2,4,0,1,1,1,3,2,5,1,6,1,3,1,4.5,1,6,6,6,,4
W302,61,2,1,1,5,1,2,5,5,1,2,1,0.5,2,1,0.25,,,,,,,1,1,,1,0,0,4,3,2,5,0,4,0,4,4,3,4,4,4,3,5,1,4,1,4.5,1,6,5,5,,1
S48,62,2,1,3,3,1,1,20,20,1,5,4,12,3,2,0.75,,,,,,,1,,,1,0,0,3,2,1,5,0,2,-2,1,1,1,1,1,1,1,3,1,3,1,4.2,1.4,3,3,3,,3
W004,62,2,1,2,1,2,,0,0,2,1,0,0,1,0,0,1,1,1,,,,,,,1,0,0,1,0,0,1,,1,,6,6,6,1,1,1,1,1,1,6,1,3.5,1,4,3,2,,2
W014,62,2,4,4,1,1,1,14,16,1,7,6,56,2,1,0.25,,,1,,,1,1,,,2,1,3,5,4,3,6,1,5,1,1,1,1,6,6,5,4,6,6,6,5,6,5.5,8,8,8,,5
W054,62,2,4,3,1,2,,2,1,2,5,4,12,2,1,0.25,1,,,,,,1,,,1,0,0,3,2,1,2,-3,4,0,1,1,2,3,3,3,2,3,2,3,2,3,2,6,5,5,,4
W060,62,2,1,3,5,2,,20,20,1,7,6,56,2,1,0.25,1,,,,,,,,,1,0,0,4,3,2,5,0,4,0,3,2,1,4,4,2,7,4,6,6,2,5,4,6,6,6,,4
W068,62,1,2,3,5,1,1,20,20,1,5,4,12,2,1,0.25,1,,,,,,,,,1,0,0,5,4,3,4,-1,4,0,2,2,1,2,2,2,2,7,2,2,2,4.5,2,2,2,2,,4
W084,62,2,1,3,5,2,,15,15,1,7,6,56,7,6,3.5,1,1,,,,,1,,,1,0,0,5,4,3,5,0,3,-1,1,1,1,4,3,4,4,4,1,4,1,4,1,5,5,5,,3
W106,62,2,4,1,1,1,1,12,12,1,7,6,56,2,1,0.25,,,,,,,,,,1,0,0,3,2,1,8,3,6,2,1,1,1,7,7,7,7,7,1,7,7,7,4,10,10,10,,1
